#
# [ASteCA v0.4.2-dev]
#
# Created:  [2021-11-05 21:20:54]
# Modified: [2021-11-06 09:33:27]
#
# NAME: Cluster's name.
# c_x: Cluster's x center coordinate.
# c_y: Cluster's y center coordinate.
# r_cl: Cluster's radius.
# r_c: Core radius (3-P King profile).
# r_t: Tidal radius (3-P King profile).
#
# CI: 'Contamination index' is a  measure of the contamination of field
#      stars in the cluster region. The closer to 1, the more contaminated 
#      the cluster region is.
# n_memb_k: Approximate number of cluster's members obtained integrating the
#           fitted King profile (if it converged).
# n_memb: Approximate number of cluster's members assuming a uniform
#         background.
# a_f: Fraction of cluster's area that is present in frame.
#
# Parameters values are in the sense: mean, MAP/ML, median, mode.
# Parameters uncertainties are 16th, 84th percentiles, and STDDEV.
# z: Metallicity value.
# a: log(age).
# E: extinction E(B-V).
# d: Distance modulus.
# M: Total initial mass.
# b: Binary fraction.
# Nt: Number of samples used to estimate the parameters values.
#
NAME                                  c_x        c_y       r_cl        r_c       rc16       rc84        r_t       rt16       rt84      CI   n_memb_k     n_memb     a_f     z_mean      z_MAP   z_median     z_mode     z_16th     z_84th      z_std  z_R^2     a_mean      a_MAP   a_median     a_mode     a_16th     a_84th      a_std  a_R^2     E_mean      E_MAP   E_median     E_mode     E_16th     E_84th      E_std  E_R^2     d_mean      d_MAP   d_median     d_mode     d_16th     d_84th      d_std  d_R^2     M_mean      M_MAP   M_median     M_mode     M_16th     M_84th      M_std  M_R^2     b_mean      b_MAP   b_median     b_mode     b_16th     b_84th      b_std  b_R^2         Nt
#
# 01,02: z=0.0152, b_fr=0.0
02/eso09308                     -0.000132   0.001790   0.026494        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.59     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.93473    9.90967    9.98761    10.0146    9.84963    10.0409   0.137801   0.78   0.580072   0.563366   0.575345   0.571575   0.557479   0.602735  0.0299407   0.86    15.6301    15.7403    15.6386    15.6905    15.4529    15.8062     0.1912   0.84    22260.8    25705.0    22662.3    23374.8    15280.0    29565.9    7837.31   0.99        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
01/arpm2                        -0.003362   0.002218   0.052333        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.85     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.75693    9.83305    9.82633    9.82905    9.55726    9.84481   0.130482   0.83   0.549084   0.532026   0.541869   0.537971   0.526013   0.582722  0.0255893   0.95     14.828    14.7464    14.7265    14.6974     14.646    15.1681   0.232025   0.81    5583.21    5894.59    5543.05    5439.02    4634.92    6478.83    977.033   0.99        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
01/ber102                        0.002893  -0.000167   0.042371        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.90     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.80558    9.62126    9.88233    9.95257    9.61167    9.97047   0.178017   0.86   0.402417   0.470131   0.375331   0.351257   0.343724   0.466642  0.0560958   0.85    13.9771    14.2852    13.9223    13.7329    13.6961    14.2852   0.265342   0.92    2361.46    3010.99    2280.62    2153.09    1934.94    2862.44    446.995   0.97        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
02/fsr1212                       0.002485  -0.005474   0.057614        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.72     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.16553    9.07568    9.13036    9.08283    9.08041    9.17097   0.167646   0.48   0.595639   0.657394   0.603772   0.587746   0.570133   0.650158  0.0725319   0.71     14.824     14.925    14.9096    14.9356    14.7713    15.0079   0.350242   0.55    2043.38    2023.04     1985.2    1796.18     1561.4    2540.68    491.002   0.98        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
01/ber25                         0.059285   0.031199   0.065073        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.75     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan     9.8302     9.7687    9.83702    9.84254    9.77396    9.86493  0.0408031   0.95   0.337741   0.345361   0.337417   0.335805   0.328072   0.348215   0.010972   0.97    13.9513    14.0308    13.9632    14.0003    13.8764    14.0143  0.0641131   0.96    3904.67    3349.48    3958.75    4046.92     3508.9    4210.15    439.523   0.98        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
02/fsr1419                      -0.000862   0.012548   0.048699        nan        nan        nan        nan        nan        nan    1.30        nan        nan    0.92     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.50143    9.48415    9.46878     9.4661     9.4382    9.51931   0.106629   0.62   0.602463   0.598045   0.606911   0.607817   0.583312   0.626953  0.0292967   0.88    14.8478    14.7491    14.9387     14.977    14.6968    15.0465   0.300677   0.81    3972.42    3251.06    3819.39    3788.27     3125.7    4918.66     992.01   0.94        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
01/ber26                        -0.018679  -0.011852   0.041360        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.42     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.93151    9.96606    9.94356    9.95278    9.88763    9.96666  0.0510219   0.86   0.581492   0.569059   0.585093   0.590805   0.568533   0.595244  0.0158635   0.83    12.9645    12.9933    12.9687    12.9905    12.8482    13.0705   0.142183   0.95    1385.87    1727.13    1362.82     1411.4    1074.29    1672.17    340.034   0.94        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
02/kronberger31                 -0.002245   0.007536   0.037914        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.77     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.10359    9.11244    9.11005     9.1151    9.08897    9.11732  0.0438936   0.44    1.14259    1.13768    1.13789      1.136    1.12924    1.15003  0.0296781   0.54    13.9696    13.9407    13.9593     13.951     13.889    14.0438   0.104385   0.82    1856.37    1827.74    1823.23    1811.45    1721.93    1951.72    354.384   0.36        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
01/ber29                        -0.053855   0.009055   0.050544        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.90     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.57975    9.59763    9.59473    9.59952    9.50017    9.61531   0.061389    0.9  0.0428078  0.0466759  0.0454255  0.0487075  0.0293416  0.0548837  0.0134243   0.96    15.5391     15.534    15.5538    15.5547    15.4794    15.6162   0.104254   0.88    5133.21    5871.14    5406.14    5517.03     4208.9    5897.87    833.195   0.91        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
02/kronberger39                 -0.002498  -0.000535   0.011214        nan        nan        nan        nan        nan        nan    1.32        nan        nan    0.89     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.36387    9.33445    9.33992    9.33875    9.30241    9.37323   0.110929    0.6   0.780338   0.771682   0.783463    0.78196   0.756984    0.81187  0.0453317   0.81    15.5459    15.7546    15.6079    15.6706    15.3864    15.7466   0.282727   0.75    4296.91    6855.57    4033.67    3669.68    2660.68    5992.84     1808.9   0.91        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
01/ber56                        -0.012303   0.001099   0.080726        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.89     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.71945    9.71819    9.71934    9.71892    9.71258     9.7379   0.017407   0.84   0.446735   0.446369   0.446761   0.447644    0.44102   0.451479 0.00538183   0.98    14.9613    14.9723    14.9651    14.9865    14.9244    14.9924  0.0280907   0.96    20269.1    22371.3    19672.0    22664.9    17141.4    23198.2    2512.07   0.88        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
02/saurer1                      -0.000439   0.001937   0.034301        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.78     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.84055    9.72261    9.89494    9.94817    9.68606    9.96703   0.156764   0.93   0.100284   0.115343  0.0996168   0.116697  0.0590977   0.135577  0.0398715   0.98    15.1669    15.3291    15.1723    15.1535    14.9611    15.3695   0.273181   0.97    2614.26    2149.98    2582.99     2666.0    1886.98    3302.33    715.664   0.98        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
01/ber73                         0.022540   0.030855   0.033241        nan        nan        nan        nan        nan        nan    0.60        nan        nan    0.91     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.71736    9.47307    9.74499     9.9094    9.47075    9.92451   0.212175   0.93  0.0958756   0.165641  0.0787491  0.0530071  0.0283946   0.169445  0.0651507   0.93    13.3057    13.5471     13.236    13.1865    13.0822    13.5579   0.247539   0.96    1414.71    1255.84    1402.85    1363.22    1122.81    1734.95    304.618    1.0        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
02/saurer3                       0.001116   0.021426   0.033192        nan        nan        nan        nan        nan        nan    0.82        nan        nan    0.93     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.53836    9.52695    9.52169     9.5179    9.49893     9.5617  0.0792075   0.61   0.770383   0.776289   0.773076   0.771984   0.759152    0.78558  0.0231337   0.71     13.765    13.6519    13.7481    13.7273    13.6384    13.9257   0.159832   0.93    3015.88    2423.96    3007.93    2490.14    2423.52    3603.72     563.39   0.98        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
01/ber75                         0.000112   0.004227   0.032595        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.89     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan     9.8123    9.82754    9.80148    9.79741    9.78208    9.87675  0.0494228   0.88  0.0410588  0.0409288  0.0445175  0.0462067  0.0230107  0.0521785  0.0144597   0.91    14.1161    14.1462    14.1203    14.1126    14.0179    14.2091  0.0977088   0.99    3000.96    2918.85    3091.14    3168.78    2193.26    3685.22    762.837   0.98        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
02/saurer6                      -0.001875   0.003188   0.033801        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.89     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.52857    9.61678    9.57857    9.58189     9.3758    9.73117   0.260462    0.7   0.777879   0.737159    0.75691   0.754125   0.720224   0.821686   0.111541   0.51    14.0106    13.7106    13.8774    13.6996    13.6215    14.4056   0.419609   0.92    2432.71    2034.63    2383.61    2266.05    1936.31    2919.85    571.048    0.9        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
01/ber76                         0.010970   0.005711   0.069275        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.88     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.41054    9.22668    9.27016    9.25132    9.23265    9.61722   0.236962    0.8   0.535961   0.608083   0.580704   0.592035   0.465915   0.598231  0.0816318   0.85    13.0821    13.4573    13.2077    13.2747    12.7547    13.3541   0.316552   0.94    1442.86    1750.12    1377.14    1282.44    1194.57    1772.89    296.674   0.96        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
02/tombaugh2                     0.005000   0.000259   0.060594        nan        nan        nan        nan        nan        nan    0.48        nan        nan    0.94     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.40482     9.3395    9.33893    9.33511    9.33046     9.5835   0.117179   0.68   0.257727   0.270794   0.273983   0.277943   0.200822   0.288068  0.0382538   0.78    14.4223    14.5512    14.5106    14.5326    14.1228    14.5582    0.19545   0.77    8951.03    8536.82    8712.25    8514.05    8322.68    9990.99    799.692   0.91        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
01/czernik30                    -0.031131   0.018617   0.043015        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.67     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.65833    9.67774    9.67788    9.68914    9.58952    9.71744  0.0756961   0.94   0.221757   0.219627   0.222602    0.21922   0.210041   0.235767  0.0183659   0.85    13.5712    13.5826    13.5746    13.5805     13.506    13.6329   0.078691   0.94    1927.19    2176.68    1939.32    2047.87    1588.92    2230.58    339.735    1.0        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
02/vdbh144                      -0.000974  -0.001320   0.025338        nan        nan        nan        nan        nan        nan    0.68        nan        nan    0.95     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.03428    8.98374    9.00673    9.00431     8.9891    9.02454  0.0979351   0.47   0.644674   0.676334   0.665356   0.666501   0.645444   0.675897   0.059999   0.58    15.3217    15.3284    15.3821    15.4233    15.2572    15.4494   0.202514   0.66    4291.38     4628.1    4458.66    4644.56    3642.02    4841.46    671.115   0.95        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
01/eso09205                     -0.003015  -0.006759   0.052485        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.90     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.79553    9.78278    9.79251    9.79301    9.78308    9.80371   0.016738   0.69   0.100221   0.106252   0.101784   0.103072  0.0923471   0.105314 0.00618209   0.96    15.0903    15.0943    15.0986    15.1117    15.0454    15.1378  0.0425975   0.95    10817.0    10843.8    10852.8    11507.9    10049.2    11532.2    685.239   0.91        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
#02/vdbh176                      -0.046932  -0.005082   0.036408       nan        nan        nan        nan        nan        nan    1.09        nan        nan    0.88     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    10.0108    10.0249     10.013     10.015    9.98108    10.0246  0.0424857    0.9   0.537802   0.524738    0.53265   0.528956   0.523294   0.558276  0.0169544    0.9    15.9204    15.9957    15.9227    15.9588    15.8688    15.9719  0.0487385   0.97 1.29033e+05 1.35639e+05 1.3324e+05 1.36261e+05 1.03195e+05 1.50915e+05    23417.4   0.95        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
02/vdbh176                      -0.046932  -0.005082   0.036408        nan        nan        nan        nan        nan        nan    1.10        nan        nan    0.88     0.0152     0.0152     0.0152     0.0152        nan        nan        nan    nan    9.90783    9.81717    9.82315    9.81729    9.81474    10.0882    0.12842   0.67   0.525028   0.519354   0.523355   0.520366   0.510395   0.540433  0.0135995   0.99    16.2931    16.3764    16.3011    16.3078    16.2352    16.3569  0.0675422   0.89 1.74233e+05 1.91543e+05 1.83506e+05 1.91601e+05 1.49914e+05 1.94773e+05    20786.2   0.89        0.0        0.0        0.0        0.0        nan        nan        nan    nan   3.10E+00
