#
#
# Don't really remember whay I did here, I think I just run again several times using the same parameters but with more time
# given to ptemcee just to check.
#
# [ASteCA v0.4.2-dev]
#
# Created:  [2021-08-10 18:16:24]
# Modified: [2021-11-04 23:07:19]
#
# NAME: Cluster's name.
# c_x: Cluster's x center coordinate.
# c_y: Cluster's y center coordinate.
# r_cl: Cluster's radius.
# r_c: Core radius (3-P King profile).
# r_t: Tidal radius (3-P King profile).
#
# CI: 'Contamination index' is a  measure of the contamination of field
#      stars in the cluster region. The closer to 1, the more contaminated 
#      the cluster region is.
# n_memb_k: Approximate number of cluster's members obtained integrating the
#           fitted King profile (if it converged).
# n_memb: Approximate number of cluster's members assuming a uniform
#         background.
# a_f: Fraction of cluster's area that is present in frame.
#
# Parameters values are in the sense: mean, MAP/ML, median, mode.
# Parameters uncertainties are 16th, 84th percentiles, and STDDEV.
# z: Metallicity value.
# a: log(age).
# E: extinction E(B-V).
# d: Distance modulus.
# M: Total initial mass.
# b: Binary fraction.
# Nt: Number of samples used to estimate the parameters values.
#
NAME                                  c_x        c_y       r_cl        r_c       rc16       rc84        r_t       rt16       rt84      CI   n_memb_k     n_memb     a_f     z_mean      z_MAP   z_median     z_mode     z_16th     z_84th      z_std  z_R^2     a_mean      a_MAP   a_median     a_mode     a_16th     a_84th      a_std  a_R^2     E_mean      E_MAP   E_median     E_mode     E_16th     E_84th      E_std  E_R^2     d_mean      d_MAP   d_median     d_mode     d_16th     d_84th      d_std  d_R^2     M_mean      M_MAP   M_median     M_mode     M_16th     M_84th      M_std  M_R^2     b_mean      b_MAP   b_median     b_mode     b_16th     b_84th      b_std  b_R^2         Nt
01/ber29                        -0.053855   0.009055   0.050544        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.90  0.0113429 0.00469231  0.0107593 0.00624886 0.00507241   0.017403 0.00491018   0.91    9.59884    9.66289    9.59927    9.59853    9.54508    9.65393  0.0508023   0.99  0.0581107   0.112521  0.0534491  0.0156306  0.0105526   0.107977  0.0419834   0.93    15.7584    15.8317     15.756    15.7538    15.6351    15.8846   0.117901   0.99    13371.8    17433.3    11489.7    8673.28    7305.15    19939.7     6894.6   0.89   0.589847   0.740587   0.600358   0.756456   0.338127    0.83486   0.234718   0.97   3.10E+00
02/vdbh176                      -0.046932  -0.005082   0.036408        nan        nan        nan        nan        nan        nan    1.09        nan        nan    0.88  0.0124424  0.0166302   0.011568  0.0169862 0.00539704  0.0176983 0.00582142   0.91     9.9523    10.0442     10.028    10.0434    9.80741    10.0558    0.12132   0.84   0.581131   0.510968   0.583598   0.630096   0.510968   0.636061  0.0562647   0.92    15.9302     15.913    15.9312    15.9244    15.8848    15.9783  0.0422948   0.98 1.68211e+05 1.96046e+05 1.72355e+05 1.85757e+05 1.4438e+05 1.92796e+05    24536.2   0.92   0.373522   0.254682   0.390053   0.432132   0.172841   0.541391   0.172881   0.99   3.10E+00
01/arpm2                        -0.003362   0.002218   0.052333        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.85 0.00811034 0.00466722 0.00749194 0.00433159 0.00280572  0.0118656 0.00537852   0.89    9.62413    9.67105    9.61887    9.60177    9.55636     9.6738  0.0707417   0.96   0.644717   0.658535    0.64407   0.642293   0.582071   0.711832   0.064785   0.99    15.1767    15.1402    15.1664    15.1497     15.089    15.3076   0.132539   0.95    11991.3    16551.9    10211.8     8473.8    7413.12    16660.0    5773.18   0.82   0.403146   0.566814   0.365535   0.248348   0.173844   0.635158   0.219962   0.96   3.10E+00
03/arpm2                        -0.003362   0.002218   0.052333        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.84   0.006018 0.00218755 0.00343025 0.00253899 0.00226254  0.0100756 0.00558021   0.72    9.60524    9.56444    9.58841    9.56928    9.53422    9.68352  0.0822449   0.93   0.674822   0.725534   0.685878   0.722356   0.608176   0.736074  0.0691429   0.94    15.2061    15.1852    15.2077    15.1808    15.0995    15.3403   0.139219   0.96    11859.5    9965.43    10216.7    9269.21    7707.03    15232.0    5988.93   0.72   0.392928   0.373303   0.357014   0.307207   0.194311   0.600049   0.203823   0.96   3.10E+00
02/arpm2                        -0.003362   0.002218   0.052333        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.85 0.00529483 0.00111444 0.00253302 0.00170699 0.00130073  0.0108101 0.00567616   0.74    9.63344    9.64954    9.63714    9.64332    9.57601    9.66826  0.0647537   0.92   0.692104   0.760844   0.720718   0.751111   0.606642   0.761783  0.0772587    0.9    15.2098    15.2119    15.2173    15.2087    15.1137    15.3246   0.131448   0.92    17446.8    18497.5    13445.7    10384.4    8291.65    27431.8    11745.1    0.8   0.490662   0.573491   0.459496   0.379279    0.23045   0.795551   0.247565   0.97   3.10E+00
04/arpm2                        -0.003362   0.002218   0.052333        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.84 0.00654082  0.0048478 0.00485826  0.0047496 0.00156731 0.00995344 0.00541226   0.77    9.61682    9.67166    9.62707    9.65491    9.54839    9.66932  0.0703699   0.94   0.666972   0.654711   0.665995   0.663302   0.605077   0.749771   0.069019   0.98    15.1944     15.154    15.1846    15.1694     15.121    15.2997   0.115195   0.91    11862.4    9757.58    10431.4     9799.5    8089.66    14783.3    5637.94   0.72    0.36607   0.271284   0.318056   0.274775   0.193497   0.551246   0.193728   0.93   3.10E+00
01/ber102                        0.002893  -0.000167   0.042371        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.90  0.0161409   0.014133  0.0173528  0.0205742 0.00686034  0.0220933 0.00752273   0.96    9.69858    9.60271    9.67286     9.6244    9.58585    9.82667   0.122865   0.96   0.420154   0.448689   0.405864   0.397385   0.364121     0.4912  0.0698918   0.96    14.3889    14.3987    14.3935     14.559     14.177    14.6041    0.21852   0.99    6305.35    4507.59    5618.05    4922.93    3955.19    8572.24    2827.01   0.86   0.577384   0.543307   0.579104    0.57988   0.388541   0.765379   0.181164    1.0   3.10E+00
03/ber102                        0.002893  -0.000167   0.042371        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.91  0.0136813 0.00631064  0.0132149  0.0126667 0.00559091  0.0228978 0.00768077   0.96    9.70717    9.58825    9.69143    9.66881     9.5891    9.83736   0.125426   0.98   0.437265   0.522651   0.426129    0.41625   0.356122   0.521406  0.0811555   0.98     14.378    14.4824    14.3849    14.5342    14.1676    14.5986   0.220821   0.99    6410.15    4595.05    5710.43    4921.71    4063.29    8733.78    2822.95   0.86    0.57154    0.48367    0.57014   0.546246   0.386867   0.764632   0.181605    1.0   3.10E+00
02/ber102                        0.002893  -0.000167   0.042371        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.90  0.0128358 0.00766933  0.0123623 0.00803363 0.00621453  0.0205975 0.00695784   0.95    9.75816    9.82534    9.76083    9.85441    9.63392    9.88844   0.124992   0.98   0.425724   0.437925   0.422545   0.422783   0.365441   0.484251  0.0667231   0.97    14.2888    14.1494    14.2812    14.1297    14.0379    14.5662   0.244399   0.99    6254.56    5579.59     5502.6    4693.33    3896.91    8652.54    2820.46   0.87   0.565317   0.497902   0.565739   0.558258   0.375042   0.756315   0.184564    1.0   3.10E+00
04/ber102                        0.002893  -0.000167   0.042371        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.90  0.0173794  0.0159371  0.0180279  0.0255207 0.00702246  0.0261188 0.00810547   0.92    9.72192    9.72724    9.70734    9.69721    9.57722    9.88407   0.136185   0.98   0.406039   0.399918   0.392619   0.388559    0.33321    0.47096  0.0756405   0.96    14.3849    14.3016    14.3518    14.2688    14.1183    14.6831   0.261637   0.98    6882.24    7900.35    6010.17    5142.31    4179.24    9488.13    3259.91   0.85   0.602083   0.749022   0.610706    0.63033    0.39637    0.80922   0.193073   0.99   3.10E+00
01/ber25                         0.059285   0.031199   0.065073        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.74  0.0126574  0.0078606 0.00803213 0.00778979 0.00763186  0.0213504 0.00682853    0.8    9.74048    9.80238    9.75044     9.7574    9.67695    9.80436  0.0671688   0.95   0.369988   0.394972   0.388652   0.396504   0.308557   0.408415  0.0486885   0.94    14.3717    14.2576    14.3569    14.3233    14.2589    14.4941   0.138811   0.97    17275.1    19384.9    16994.2    17948.7    10068.4    24069.5    7220.02   0.98   0.812191   0.895188   0.859373   0.921928   0.664846   0.966031   0.168316   0.86   3.10E+00
02/ber25                         0.059285   0.031199   0.065073        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.75  0.0101423 0.00922585 0.00927635 0.00921802 0.00439283  0.0172769 0.00577849   0.87    9.75639    9.77419    9.76273    9.76582     9.7267    9.79777  0.0516022   0.88   0.387273   0.375521   0.381657   0.375402    0.33148   0.448566  0.0507287   0.94    14.3114    14.3479    14.3097    14.3182    14.2304    14.3807   0.113799    0.9    18027.9    27629.8    17232.6    14838.0    9996.84    26754.1    7465.12   0.98   0.816139   0.979711    0.87387   0.934915   0.649787   0.968504   0.179604   0.84   3.10E+00
03/ber25                         0.059285   0.031199   0.065073        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.76  0.0157879  0.0111521  0.0158527  0.0211315  0.0109275  0.0214596 0.00595668   0.94    9.75044     9.7742    9.76344    9.76538    9.69926    9.80477  0.0606778   0.92   0.345611    0.36563   0.333663    0.31759   0.308008   0.382616   0.045248   0.92    14.3493    14.3095    14.3594    14.3718    14.2247    14.4349   0.140568   0.93    16442.1    9941.61    15845.6    15074.9    9514.32    23484.8    6613.74   0.98   0.775803    0.62712    0.82901   0.898557   0.607022   0.946894   0.189611   0.88   3.10E+00
04/ber25                         0.059285   0.031199   0.065073        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.75  0.0106436 0.00769831 0.00952623  0.0086955  0.0050595  0.0158469 0.00547263   0.92    9.73924    9.74427    9.75358    9.76626    9.67119    9.80858  0.0753351   0.96   0.388343   0.408087   0.378246     0.3647   0.335607   0.462669  0.0564013   0.97    14.3015     14.339    14.3208    14.3398     14.134    14.4118     0.1499   0.94    14480.6    16005.4    12942.6    8639.49    7401.99    22418.0    6836.41   0.94   0.726478   0.848286   0.766903    0.91021    0.48762   0.943554   0.214228   0.93   3.10E+00
01/ber26                        -0.018679  -0.011852   0.041360        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.41  0.0219777  0.0196787  0.0229844  0.0266703  0.0162652  0.0274668 0.00553706   0.92    9.85286    9.79963     9.8442    9.82525    9.69347    10.0263   0.146322   0.97   0.540227   0.586153   0.552588   0.573631   0.489037   0.585945  0.0474657   0.91    13.4593    13.7778    13.4735    13.5937    13.1189      13.79   0.350087    1.0    5612.83    4318.27    4797.55    3620.08    2504.41    8862.18    3419.54    0.9   0.707095    0.46968   0.763471   0.882583   0.453459    0.93757   0.230833   0.92   3.10E+00
02/ber26                        -0.018679  -0.011852   0.041360        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.42  0.0213075   0.025657  0.0217208  0.0263568  0.0154305  0.0270047  0.0057044   0.94    9.87067    9.63842    9.86679    9.85173    9.72398    10.0252   0.134243   0.97   0.540913   0.592846   0.549771   0.576815   0.491646   0.586612  0.0433809   0.94    13.4115    13.7608    13.4013     13.382    13.0668     13.747   0.347045    1.0    5304.13    5576.26     4526.4    3251.03     2266.5    8230.41    3372.36   0.89   0.695103   0.804099   0.755533   0.888589    0.42737   0.941342   0.245954   0.92   3.10E+00
03/ber26                        -0.018679  -0.011852   0.041360        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.42  0.0204746  0.0220006  0.0217259  0.0238138  0.0136634  0.0266812 0.00579863   0.96    9.86896    9.76218    9.88713    9.89815    9.67857    10.0419    0.15284   0.96   0.543847   0.589592   0.553161    0.57937   0.496921   0.588043  0.0430148   0.93    13.4421    13.6187     13.434    13.4766    13.0373    13.8348   0.403555    1.0    5502.74    2848.06    4670.82    3233.54    2362.84    8596.87    3563.45   0.88    0.70724   0.471104   0.759434   0.886186   0.458132    0.93972   0.230374   0.92   3.10E+00
04/ber26                        -0.018679  -0.011852   0.041360        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.42  0.0207672  0.0208323  0.0214877  0.0255556  0.0149424  0.0266873 0.00569631   0.95    9.88013    9.85014    9.87549      9.846     9.7456     10.033   0.134772   0.97   0.543449   0.587947   0.558225   0.577673   0.486314   0.588799   0.048067   0.89    13.4016    13.7479    13.4062    13.4111    13.0557    13.7446    0.35462    1.0    5443.77    7392.54    4631.84    3320.11    2325.48    8568.67    3447.56   0.89   0.707736   0.766735   0.764975    0.88979   0.452348   0.943779   0.234046   0.92   3.10E+00
01/ber29                        -0.053855   0.009055   0.050544        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.91 0.00909557 0.00402255  0.0087879 0.00860801  0.0066249  0.0117149 0.00356992   0.89    9.58681    9.62382     9.5919    9.60486    9.53566    9.62229  0.0469625   0.97   0.077449    0.13599  0.0746732  0.0727477  0.0447326   0.109592  0.0336992   0.98    15.7732     15.741    15.8031    15.8651    15.6216    15.9002   0.126447   0.95    14300.5    13498.4    12285.9    8384.38    7137.92    21970.6    7591.69   0.91   0.624543     0.7199   0.662359   0.848949   0.332419   0.898214   0.251455   0.95   3.10E+00
02/ber29                        -0.053855   0.009055   0.050544        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.90  0.0100859 0.00671417 0.00835572 0.00714147 0.00672968  0.0145021 0.00394767   0.86    9.57077    9.55804    9.56154    9.54876    9.53415    9.61431  0.0424607   0.98  0.0709415   0.105673  0.0816731   0.102658  0.0222275   0.110107  0.0392108   0.92    15.7825    15.8066    15.8086    15.8262    15.6545    15.8827   0.113985   0.95    13673.3    14585.5    12671.0    11762.4    7759.13    19329.4    6284.41   0.92   0.640038   0.773023    0.69303   0.763664   0.385005    0.85824   0.220524   0.95   3.10E+00
03/ber29                        -0.053855   0.009055   0.050544        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.91  0.0107481  0.0171366  0.0102754  0.0101554  0.0058642  0.0163659 0.00425599   0.94     9.5876    9.53532    9.57318    9.55556      9.536    9.65269  0.0565556   0.97   0.066307  0.0244167  0.0575046  0.0264414  0.0196972   0.128302  0.0446382   0.92    15.7398    15.8525    15.7655      15.81     15.607    15.8526   0.120013   0.96    12852.6    13645.0    11515.7    9102.25    7077.68    19032.0    6500.52   0.89   0.582052   0.657436   0.603772   0.621922   0.315989    0.82393   0.229555   0.97   3.10E+00
04/ber29                        -0.053855   0.009055   0.050544        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.90 0.00982073 0.00702194 0.00850334 0.00748401 0.00669456  0.0140747 0.00377036   0.93    9.58316    9.58767    9.58235    9.55764    9.54303    9.62107  0.0465397   0.97   0.069966   0.100505  0.0754103  0.0895045  0.0302477  0.0999097   0.032099   0.97    15.7309     15.726    15.7345    15.7313    15.6046    15.8538   0.119178   0.99    12295.1    13073.1    10514.0    7974.58    6563.93    18053.9    6273.66   0.91   0.567606   0.674495   0.598694   0.733634   0.264074    0.85064    0.25624   0.96   3.10E+00
02/ber56                        -0.012303   0.001099   0.080726        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.90  0.0224815  0.0250419  0.0247342  0.0248397  0.0211443  0.0249854 0.00453242   0.61    9.71412    9.69688    9.70001    9.69797    9.69228    9.74997  0.0302484    0.8   0.408937   0.395585   0.402688   0.403963   0.395248   0.409615  0.0226912   0.62    15.2734    15.3004    15.2993    15.3069    15.1998    15.3227  0.0604531    0.9    55247.9    52624.2    54040.3    52854.4    48535.6    62975.7    7495.15   0.96   0.641583   0.660059   0.642783    0.66405   0.570112    0.71012  0.0646445   0.99   3.10E+00
01/ber56                        -0.012303   0.001099   0.080726        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.89  0.0153324  0.0160598  0.0156701  0.0158028  0.0152118  0.0160216 0.00224357   0.69    9.78332     9.7947    9.79353    9.79771    9.75124    9.80684  0.0319003   0.79   0.428825   0.418415   0.424088   0.422477   0.415209   0.444643  0.0188177   0.75    15.1976    15.2351    15.1976    15.1929    15.1697    15.2311  0.0355205   0.97    61264.2    60341.4    60044.7    57896.4    50894.5    74870.8    10916.9   0.98   0.642523   0.585878   0.644849   0.694637   0.582256   0.716942  0.0711531   0.98   3.10E+00
03/ber56                        -0.012303   0.001099   0.080726        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.90 0.00963982 0.00975786 0.00977331 0.00984838 0.00784894  0.0100237 0.00217973    0.6    9.74323    9.74313    9.74148    9.74022     9.7348     9.7574  0.0195165   0.83   0.476993   0.470944   0.472353    0.47122   0.467796   0.498197  0.0201665   0.86    15.2026    15.2018    15.2026    15.2024    15.1747    15.2339  0.0300962   0.98    62854.1    53425.0    60437.1    54252.7    51598.0    77371.7    12287.9   0.96   0.654022   0.608599   0.641126   0.634052   0.579693   0.780836  0.0871597   0.96   3.10E+00
04/ber56                        -0.012303   0.001099   0.080726        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.89 0.00978961 0.00776815   0.007887  0.0078436 0.00766566 0.00858705 0.00491563   0.51     9.7281    9.75409    9.74355     9.7471    9.69052    9.75619  0.0388557   0.81    0.48773   0.489433   0.495083    0.49661   0.479291   0.517941  0.0347376   0.73    15.1919    15.1963    15.1859    15.1844    15.1724    15.2184  0.0272318   0.95    56509.5    51989.3    55288.5    53763.3    49797.9    63427.0    7353.53   0.98   0.627222   0.543442   0.620288   0.605283   0.564159   0.690282  0.0634569   0.98   3.10E+00
02/ber73                         0.022540   0.030855   0.033241        nan        nan        nan        nan        nan        nan    0.60        nan        nan    0.91 0.00829969 0.00197226 0.00575857 0.00273874 0.000949937  0.0155907  0.0075368   0.88    9.60561    9.67408    9.57107    9.31252     9.2826    10.0008   0.298358    0.9   0.220992   0.269503   0.223761   0.278559   0.109213   0.335882    0.10073   0.97    13.6725    13.6099    13.6638    14.1503    13.0792    14.2516    0.51065   0.96     3585.2    6237.83    2934.39    2416.93    1895.86    5241.45    2212.11   0.79   0.489711   0.800754   0.467892   0.297598   0.219194   0.787764   0.252831   0.97   3.10E+00
01/ber73                         0.022540   0.030855   0.033241        nan        nan        nan        nan        nan        nan    0.54        nan        nan    0.91 0.00705873 0.00684722 0.00531769 0.00302144 0.00170931  0.0124212 0.00658857   0.81    9.55014    9.28587    9.41241    9.31474    9.28366    9.90686    0.27681   0.87   0.249739    0.31754   0.262814   0.341982   0.136136   0.359323   0.100823   0.95    13.7277    13.9578    13.8347    14.1022    13.1489     14.214   0.475274   0.94    3665.49    2195.23    2992.75    2455.48    1978.69    5250.69    2221.27    0.8   0.467539   0.181009    0.43601   0.287988   0.200559    0.76045   0.248704   0.96   3.10E+00
