#
#
# Test run setting all parameters free except b_fr=0.5 (min_mass_ratio=0.7)
#
#
# [ASteCA v0.4.2-dev]
#
# Created:  [2022-03-08 10:39:18]
# Modified: [2022-03-08 12:43:19]
#
# NAME: Cluster's name.
# c_x: Cluster's x center coordinate.
# c_y: Cluster's y center coordinate.
# r_cl: Cluster's radius.
# r_c: Core radius (3-P King profile).
# r_t: Tidal radius (3-P King profile).
#
# CI: 'Contamination index' is a  measure of the contamination of field
#      stars in the cluster region. The closer to 1, the more contaminated 
#      the cluster region is.
# n_memb_k: Approximate number of cluster's members obtained integrating the
#           fitted King profile (if it converged).
# n_memb: Approximate number of cluster's members assuming a uniform
#         background.
# a_f: Fraction of cluster's area that is present in frame.
#
# Parameters values are in the sense: mean, MAP/ML, median, mode.
# Parameters uncertainties are 16th, 84th percentiles, and STDDEV.
# z: Metallicity value.
# a: log(age).
# E: extinction E(B-V).
# d: Distance modulus.
# M: Total initial mass.
# b: Binary fraction.
# Nt: Number of samples used to estimate the parameters values.
#
NAME                                  c_x        c_y       r_cl        r_c       rc16       rc84        r_t       rt16       rt84      CI   n_memb_k     n_memb     a_f     z_mean      z_MAP   z_median     z_mode     z_16th     z_84th      z_std  z_R^2     a_mean      a_MAP   a_median     a_mode     a_16th     a_84th      a_std  a_R^2     E_mean      E_MAP   E_median     E_mode     E_16th     E_84th      E_std  E_R^2     d_mean      d_MAP   d_median     d_mode     d_16th     d_84th      d_std  d_R^2     M_mean      M_MAP   M_median     M_mode     M_16th     M_84th      M_std  M_R^2     b_mean      b_MAP   b_median     b_mode     b_16th     b_84th      b_std  b_R^2         Nt
02/ber26                        -0.018679  -0.011852   0.041360        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.41  0.0207718  0.0249155  0.0216002   0.023988  0.0150103   0.025843 0.00515007   0.96    9.86731    9.73235    9.87512    9.85583    9.73191    10.0088   0.130683   0.98   0.548545   0.575134    0.56064   0.579969   0.500674   0.590029  0.0420176   0.92    13.3811    13.5499    13.3926    13.4954      12.99    13.7447   0.370242    1.0    3425.25    4294.48     3195.1    2873.67    2138.99    4668.93    1390.59   0.95        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
05/eso09308                     -0.000132   0.001790   0.026494        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.60  0.0114787  0.0152328  0.0100881 0.00378378 0.00257194  0.0217903 0.00828965   0.92    9.81034     9.5527    9.88916     10.002    9.54005    10.0367   0.225073   0.89   0.661522   0.589279    0.64743    0.59671   0.565759   0.771983  0.0970999   0.97    15.6173    15.9172    15.6423    15.6707    15.3938    15.8583   0.284978   0.72    27230.8    20986.6    24782.8    15585.0    11768.7    42830.9    15105.2   0.95        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
06/kronberger31                 -0.002245   0.007536   0.037914        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.77  0.0160829 0.00461815  0.0167001  0.0244408 0.00824101  0.0251713 0.00737179   0.93    8.97734    8.95634    8.96266    8.94763    8.90585    9.04947  0.0788311   0.89    1.25124    1.39889    1.23649    1.21686    1.18586    1.33131  0.0764435   0.98    14.4857    14.2955    14.4913    14.6771    14.2694    14.7227   0.226782   0.97    4638.52    5979.48    4532.74    4210.66    3644.01    5588.98    1077.86    0.9        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
09/vdbh4                         0.001355   0.004102   0.029981        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.72  0.0143645  0.0239612  0.0155612  0.0233261 0.00335231  0.0240883 0.00914882    0.9    9.08569    8.75289    9.12423    9.24806    8.80386    9.31081    0.21839   0.95   0.295117   0.423575   0.352353   0.401486  0.0853581   0.429715   0.143101   0.85    14.5777    15.2149    14.4548    14.2943    14.1429    15.1438   0.427647   0.92    1508.28    2093.62    1435.26    1364.95    1044.88    2004.78     484.35   0.97        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
07/saurer3                       0.001116   0.021426   0.033192        nan        nan        nan        nan        nan        nan    0.82        nan        nan    0.93  0.0162166 0.00915406  0.0148535 0.00974054 0.00767517  0.0271097 0.00800232   0.92    9.70381    9.87141    9.79908    9.86504    9.44615    9.92619   0.214014   0.91   0.712244   0.685639   0.714913   0.724423   0.641095   0.771975  0.0740076   0.99    14.0014    13.8767     13.921    13.8013    13.6776    14.3732   0.346503   0.98    6722.89    7583.49    6676.01     7014.7    5207.74    8080.64    1480.86   0.98        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
04/czernik30                    -0.031131   0.018617   0.043015        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.68  0.0129953 0.00958131  0.0112305 0.00900901 0.00582751  0.0221717 0.00716205   0.94    9.58994    9.56584    9.58894    9.57935    9.49401    9.68549   0.107039   0.99    0.25394   0.286739   0.252036   0.263664   0.177615   0.333722  0.0706838   0.98    13.9494    14.0775    13.9549    13.9864    13.8166    14.0786     0.1463   0.98    4096.53     3768.6    4014.94    3871.58     3285.9    4943.24    838.697   0.99        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
03/ber73                         0.022540   0.030855   0.033241        nan        nan        nan        nan        nan        nan    0.55        nan        nan    0.92 0.00733011 0.00607808 0.00560049 0.00540124 0.000993659  0.0141706  0.0069087   0.82    9.61072    9.28264    9.67841    9.30458    9.29037    9.95106   0.286606   0.88   0.228526   0.344857   0.258526   0.326126  0.0779056   0.345279   0.115908   0.92    13.6849    14.2221    13.5739    14.1752    13.1877    14.2088   0.452499    0.9    3033.25    3611.78    2982.97    2930.24    2283.94    3733.06    738.592   0.99        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
01/arpm2                        -0.003362   0.002218   0.052333        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.85 0.00600316 0.00300691 0.00379772 0.00278878 0.00248684 0.00866043 0.00484978   0.76    9.63627    9.65169    9.63465     9.6418    9.55903    9.70958  0.0750303   0.97   0.665954    0.69449   0.674159   0.683129    0.61283   0.721413  0.0594573   0.98     15.209    15.2182    15.2106    15.2009    15.1202    15.3163   0.115799   0.96    13670.2    18716.6    13525.4    14065.0    10245.9    16967.4    3208.67   0.99        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
08/vdbh144                      -0.000974  -0.001320   0.025338        nan        nan        nan        nan        nan        nan    0.68        nan        nan    0.95 0.00471269 0.00477402  0.0046664  0.0048023 0.00316181 0.00498595  0.0024663   0.57    9.00099    9.02253    9.01331    9.01727    8.96185    9.02406  0.0490149   0.89   0.835308   0.818859   0.832359   0.825835   0.815228     0.8708  0.0360054    0.9    14.9648    14.9163    14.9392    14.9299    14.8462    15.0704   0.140146   0.92    8382.41    7951.62    8314.34    7944.47    7393.77    9445.93      999.9   0.99        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
05/fsr1212                       0.002485  -0.005474   0.057614        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.73  0.0163416   0.021817  0.0152252  0.0123532 0.00953096  0.0230979 0.00655189   0.96    9.10037    9.14219    9.09641    9.09498     9.0479    9.15052  0.0876864   0.61   0.626161   0.542659   0.619048   0.598655   0.570897   0.686561  0.0622882   0.94    15.0096     14.912    15.0103    14.9604    14.8638    15.1772   0.201727   0.86    4916.78    4249.17    4865.11    4768.33    3912.27    5946.87    1031.04    1.0        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
06/kronberger39                 -0.002498  -0.000535   0.011214        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.89  0.0165081  0.0230827  0.0172415  0.0229081 0.00755299   0.025582 0.00784302   0.96    9.49247    9.41628    9.45005    9.42483    9.34519    9.64856   0.172356   0.91   0.747297    0.73754   0.746871   0.744093   0.672718    0.82754  0.0868867   0.99     15.488    15.8265    15.5642    15.6415    15.2268     15.783   0.348541   0.87    8868.34    10859.5    8321.02    7430.32    5218.69    12373.6    3883.43   0.94        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
02/ber29                        -0.053855   0.009055   0.050544        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.90  0.0111066   0.012223   0.011418  0.0118655 0.00609542  0.0169488 0.00412961   0.94     9.5828    9.63423    9.57024    9.55541    9.51244    9.65634  0.0605402   0.96  0.0642764  0.0335994  0.0615412  0.0350901  0.0234875   0.109667  0.0378861   0.96    15.7315    15.6397    15.7341      15.78    15.6133    15.8387   0.101851   0.98    9167.87    8885.55    8967.26    8718.11     7675.5    10977.8    1447.96   0.98        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
07/saurer6                      -0.001875   0.003188   0.033801        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.89  0.0147676  0.0113838  0.0126771  0.0104024 0.00797875  0.0244481  0.0072705   0.96    9.17432    9.14798    9.14029    9.13291    9.04526    9.29857    0.16978   0.84    0.94167   0.958242   0.954656    0.96249   0.866024    1.00899  0.0918189   0.96    14.7573    14.6932    14.8177    14.9061    14.4059    15.0957   0.377619   0.94    4889.62    6115.75    4861.22    4882.97    3825.22    5940.17    1049.04   0.99        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
03/ber75                         0.000112   0.004227   0.032595        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.89  0.0121547  0.0102428  0.0105092 0.00413213 0.00273344  0.0218938 0.00806183   0.93    9.72464    9.81241    9.76024    9.77929     9.5258    9.88477    0.17409   0.97   0.088465  0.0662047  0.0768195  0.0602402  0.0280176   0.150236  0.0552307   0.96    14.5098     14.394    14.4726    14.4253     14.238    14.8104   0.278801   0.99    4027.34    4175.99    3975.29    3905.13    2970.19    5189.62    1112.66   0.99        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
01/ber102                        0.002893  -0.000167   0.042371        nan        nan        nan        nan        nan        nan    0.00        nan        nan    0.90  0.0142164 0.00439692  0.0123846 0.00747628 0.00509269  0.0252363 0.00831097   0.94    9.72238    9.65567    9.70347    9.67444     9.6087    9.87526   0.133583   0.98   0.429848   0.536134   0.428359   0.369972   0.346695   0.508895    0.07826   0.98    14.3119    14.4884    14.3101    14.2985    14.1299    14.5428   0.209831   0.99    5002.38    6615.11    4868.84    4717.91    3938.86    6059.47    1096.66   0.97        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
04/eso09205                     -0.003015  -0.006759   0.052485        nan        nan        nan        nan        nan        nan    0.61        nan        nan    0.90  0.0204314   0.020909  0.0208376  0.0207658   0.020678  0.0210379 0.00279138   0.36    9.75843    9.77134     9.7643    9.76725    9.74331    9.76972  0.0159395   0.88  0.0675986  0.0641348  0.0638633  0.0631561  0.0609239  0.0695651  0.0187902   0.48     15.549    15.5707    15.5539    15.5611    15.5307    15.5693  0.0295932   0.85    25947.7    25227.0    27157.8    27402.1    23031.0    28543.1    3046.35   0.85        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
08/vdbh176                      -0.046932  -0.005082   0.036408        nan        nan        nan        nan        nan        nan    1.09        nan        nan    0.88  0.0217889  0.0252745  0.0252279  0.0253465  0.0141707  0.0254898 0.00551174   0.68    9.68977    9.70685    9.69667     9.7041    9.67517    9.70909  0.0358375   0.81   0.514812   0.498321   0.500041   0.491973   0.483994   0.561935  0.0363044   0.87    16.3543    16.3236     16.356    16.3481    16.2918    16.4222  0.0795887   0.91  1.693e+05 1.65331e+05 1.66685e+05 1.63456e+05 1.56418e+05 1.88438e+05    16331.1   0.97        0.5        0.5        0.5        0.5        nan        nan        nan    nan   3.10E+00
